ISOCode|Region|Subregion|Country
ALB|Europe|Southern Europe|Albania
AUT|Europe|Western Europe|Austria
AZO|Europe|Southern Europe|Azores Islands
BEL|Europe|Western Europe|Belgium
BGR|Europe|Eastern Europe|Bulgaria
BIH|Europe|Southern Europe|Bosnia and Herzegovina
BLR|Europe|Eastern Europe|Belarus
CHE|Europe|Western Europe|Switzerland
CSK|Europe|Eastern Europe|Czechoslovakia
CZE|Europe|Eastern Europe|Czechia
DDR|Europe|Western Europe|German Democratic Republic
DEU|Europe|Western Europe|Germany
DFR|Europe|Western Europe|Germany Federal Republic
DNK|Europe|Northern Europe|Denmark
ESP|Europe|Southern Europe|Spain
EST|Europe|Northern Europe|Estonia
FIN|Europe|Northern Europe|Finland
FRA|Europe|Western Europe|France
GBR|Europe|Northern Europe|United Kingdom of Great Britain and Northern Ireland
GRC|Europe|Southern Europe|Greece
HRV|Europe|Southern Europe|Croatia
HUN|Europe|Eastern Europe|Hungary
IMN|Europe|Northern Europe|Isle of Man
IRL|Europe|Northern Europe|Ireland
ISL|Europe|Northern Europe|Iceland
ITA|Europe|Southern Europe|Italy
LTU|Europe|Northern Europe|Lithuania
LUX|Europe|Western Europe|Luxembourg
LVA|Europe|Northern Europe|Latvia
MDA|Europe|Eastern Europe|Republic of Moldova
MKD|Europe|Southern Europe|North Macedonia
MLT|Europe|Southern Europe|Malta
MNE|Europe|Southern Europe|Montenegro
NLD|Europe|Western Europe|Netherlands (Kingdom of the)
NOR|Europe|Northern Europe|Norway
POL|Europe|Eastern Europe|Poland
PRT|Europe|Southern Europe|Portugal
ROU|Europe|Eastern Europe|Romania
RUS|Europe|Eastern Europe|Russian Federation
SCG|Europe|Southern Europe|Serbia Montenegro
SRB|Europe|Southern Europe|Serbia
SUN|Europe|Eastern Europe|Soviet Union
SVK|Europe|Eastern Europe|Slovakia
SVN|Europe|Southern Europe|Slovenia
SWE|Europe|Northern Europe|Sweden
UKR|Europe|Eastern Europe|Ukraine
YUG|Europe|Southern Europe|Yugoslavia
